,Unnamed: 0,2,2.1,1,1.1,2.2,2.3,1.2,1.3,2.4,1.4,2.5,3,2.6,3.1,2.7,3.2,2.8,1.5,1.6,3.3,1.7,2.9,2.10,4,2.11,3.4,3.5,3.6,1.8,4.1,4.2,4.3,2.12,2.13,4.4,3.7,4.5,4.6,2.14,4.7,6,6.1,6.2,4.8,5,6.3,4.9,3.8,3.9,5.1,7,4.10,5.2,7.1,6.4,4.11,4.12,6.5,7.2,6.6,5.3,5.4,7.3,7.4,7.5,6.7,7.6,7.7,6.8,8,6.9,8.1,6.10,9,9.1,9.2,9.3,6.11,7.8,6.12,7.9,9.4,8.2,8.3,7.10,8.4,9.5,9.6,9.7,7.11,10,10.1,8.5,8.6,10.2,8.7,8.8,10.3,10.4,8.9
0,,,1.0,,2.0,1.0,2.0,,1.0,6.0,1.0,3.0,,2.0,3.0,3.0,1.0,1.0,2.0,,1.0,,4.0,1.0,9.0,,4.0,3.0,4.0,,,,,,5.0,4.0,4.0,,6.0,,,5.0,3.0,,4.0,5.0,6.0,2.0,,,4.0,5.0,7.0,1.0,7.0,,,4.0,9.0,6.0,,7.0,,1.0,8.0,8.0,7.0,,,7.0,5.0,8.0,7.0,7.0,6.0,8.0,6.0,9.0,,7.0,8.0,6.0,,,9.0,10.0,10.0,,7.0,10.0,,5.0,,8.0,9.0,9.0,8.0,2.0,10.0,,
1,1.0,,1.0,1.0,,,2.0,1.0,1.0,,,3.0,,4.0,2.0,3.0,,3.0,,3.0,,4.0,,,4.0,,,6.0,5.0,1.0,3.0,,3.0,3.0,3.0,2.0,5.0,5.0,7.0,3.0,,5.0,4.0,,3.0,,,,4.0,,,,,5.0,,7.0,6.0,6.0,,6.0,7.0,8.0,5.0,,,7.0,,5.0,,,,9.0,,,,6.0,8.0,,6.0,7.0,,7.0,9.0,,8.0,9.0,,9.0,10.0,,8.0,,10.0,,8.0,,8.0,10.0,10.0,,9.0
2,2.0,1.0,2.0,,1.0,,4.0,,2.0,1.0,,3.0,,,,9.0,2.0,,3.0,1.0,,,,,3.0,3.0,,6.0,,4.0,2.0,3.0,4.0,2.0,,,8.0,9.0,5.0,,5.0,9.0,4.0,4.0,,,,,,1.0,6.0,4.0,6.0,7.0,6.0,,4.0,,2.0,6.0,5.0,8.0,5.0,7.0,5.0,4.0,1.0,8.0,7.0,,7.0,,,8.0,6.0,1.0,,,6.0,2.0,6.0,,7.0,8.0,,5.0,7.0,7.0,9.0,,,8.0,9.0,,,9.0,,,,10.0,10.0
3,3.0,2.0,1.0,1.0,1.0,1.0,,,2.0,2.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,8.0,6.0,,4.0,4.0,3.0,,,2.0,3.0,,6.0,4.0,,4.0,2.0,,4.0,,3.0,3.0,,5.0,3.0,,,3.0,3.0,9.0,,6.0,4.0,3.0,7.0,7.0,6.0,,7.0,3.0,7.0,,3.0,5.0,,2.0,6.0,9.0,8.0,,8.0,6.0,6.0,,,7.0,6.0,4.0,,9.0,7.0,7.0,,8.0,8.0,,,8.0,8.0,10.0,,,,,,8.0,8.0,10.0,,,,9.0,8.0,9.0
4,4.0,2.0,,1.0,2.0,1.0,,,,3.0,,3.0,1.0,3.0,,2.0,,1.0,3.0,1.0,3.0,,8.0,2.0,3.0,,1.0,,3.0,6.0,5.0,,,,,5.0,8.0,2.0,,3.0,,6.0,,5.0,6.0,6.0,,,3.0,,3.0,,7.0,5.0,3.0,,5.0,,6.0,,6.0,,8.0,,6.0,7.0,8.0,8.0,,5.0,6.0,,8.0,,,,6.0,9.0,8.0,6.0,3.0,,9.0,7.0,10.0,5.0,,1.0,10.0,10.0,,,8.0,10.0,10.0,10.0,9.0,10.0,,8.0,6.0
5,5.0,1.0,7.0,1.0,8.0,1.0,2.0,1.0,9.0,2.0,1.0,2.0,,2.0,2.0,,2.0,1.0,3.0,1.0,3.0,1.0,,2.0,4.0,,,,,4.0,1.0,4.0,4.0,5.0,8.0,,5.0,5.0,4.0,,3.0,5.0,,7.0,6.0,,6.0,4.0,5.0,7.0,,5.0,5.0,4.0,7.0,,5.0,5.0,7.0,,,5.0,,7.0,8.0,,8.0,5.0,,,,8.0,7.0,8.0,9.0,7.0,5.0,,7.0,9.0,,8.0,9.0,7.0,7.0,,9.0,,9.0,7.0,10.0,,10.0,10.0,,10.0,,9.0,,9.0,
6,6.0,2.0,1.0,2.0,1.0,8.0,2.0,,1.0,2.0,1.0,2.0,2.0,,3.0,7.0,,1.0,2.0,3.0,3.0,1.0,2.0,,,2.0,3.0,,,3.0,3.0,,4.0,,2.0,,2.0,,5.0,5.0,2.0,,6.0,,6.0,5.0,,5.0,3.0,,6.0,5.0,5.0,7.0,,,,2.0,6.0,8.0,5.0,4.0,5.0,7.0,,8.0,7.0,6.0,5.0,7.0,,7.0,9.0,9.0,6.0,,7.0,6.0,6.0,8.0,9.0,9.0,,,,7.0,9.0,,,1.0,4.0,,1.0,5.0,8.0,3.0,,8.0,9.0,9.0,10.0
7,,1.0,,2.0,1.0,1.0,,,1.0,2.0,2.0,1.0,1.0,,3.0,,,4.0,1.0,,,2.0,3.0,1.0,2.0,1.0,4.0,,3.0,,4.0,9.0,,,,5.0,,,5.0,2.0,4.0,,,6.0,,3.0,4.0,,6.0,,,,,,,4.0,4.0,6.0,4.0,5.0,5.0,,,8.0,3.0,,8.0,8.0,,8.0,5.0,5.0,1.0,,8.0,6.0,8.0,7.0,,9.0,3.0,2.0,,2.0,10.0,8.0,10.0,7.0,,8.0,4.0,8.0,5.0,8.0,8.0,10.0,,8.0,8.0,10.0,
8,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,1.0,8.0,3.0,3.0,,1.0,2.0,3.0,,,2.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,,1.0,3.0,3.0,5.0,,2.0,2.0,5.0,3.0,2.0,4.0,4.0,6.0,9.0,6.0,7.0,6.0,4.0,4.0,,,7.0,7.0,,4.0,4.0,7.0,1.0,,6.0,,,7.0,8.0,8.0,8.0,8.0,6.0,5.0,,7.0,8.0,8.0,,9.0,,,6.0,6.0,7.0,7.0,5.0,,7.0,9.0,,,9.0,8.0,8.0,10.0,6.0,9.0,8.0,9.0,8.0,,10.0,9.0,10.0,10.0
